datetime,time,tem,dew_point,humidity,pressure,wind_dr,wind_sp,condition
2017/3/28,15,24,18,69,1016,10,4,3
2017/3/28,16,25,17,61,1015,16,5,3
2017/3/28,17,24,18,62,1016,16,2,3
2017/3/28,18,24,17,65,1016,13,6,5
2017/3/28,19,23,17,69,1017,16,5,5
2017/3/28,20,21,18,75,1018,1,3,3
2017/3/28,21,22,17,73,1018,16,4,5
2017/3/28,22,21,17,78,1018,13,4,5
2017/3/28,23,20,18,81,1019,1,2,2
2017/3/29,0,21,17,78,1018,16,3,6
2017/3/29,1,21,18,83,1018,16,3,3
2017/3/29,2,20,19,85,1018,15,1,2
2017/3/29,3,21,18,83,1017,2,3,3
2017/3/29,4,21,17,78,1017,2,3,7
2017/3/29,5,20,18,87,1017,14,1,2
2017/3/29,6,20,17,83,1017,6,1,6
2017/3/29,7,21,18,83,1017,0,0,6
2017/3/29,8,21,20,84,1019,4,1,3
2017/3/29,9,23,18,73,1019,1,3,3
2017/3/29,10,25,19,69,1019,16,6,3
2017/3/29,11,23,20,75,1020,2,2,3
2017/3/29,12,28,20,62,1018,13,7,4
2017/3/29,13,27,19,61,1018,13,6,3
2017/3/29,14,26,20,60,1017,3,3,4
2017/3/29,15,25,20,74,1016,9,4,3
2017/3/29,16,24,20,78,1016,10,3,4
2017/3/29,17,25,20,67,1017,5,1,6
2017/3/29,18,26,19,65,1016,13,5,3
2017/3/29,19,25,19,69,1016,16,6,3
2017/3/29,20,22,20,85,1017,3,2,4
2017/3/29,21,23,19,78,1018,16,4,3
2017/3/29,22,23,20,83,1018,16,3,6
2017/3/29,23,22,21,88,1019,1,3,2
2017/3/30,0,23,20,83,1018,16,4,6
2017/3/30,1,23,20,83,1018,16,3,3
2017/3/30,2,22,20,89,1018,3,2,2
2017/3/30,3,23,19,78,1017,16,3,3
2017/3/30,4,22,19,83,1017,16,5,3
2017/3/30,5,22,20,88,1018,2,1,2
2017/3/30,6,23,19,78,1017,16,4,4
2017/3/30,7,23,19,78,1017,16,4,4
2017/3/30,8,22,20,87,1018,1,2,3
2017/3/30,9,24,20,78,1018,16,4,7
2017/3/30,10,25,20,74,1018,11,3,3
2017/3/30,11,25,21,73,1018,16,3,3
2017/3/30,13,23,20,83,1016,8,4,3
2017/3/30,14,26,21,70,1016,2,2,3
2017/3/30,15,24,20,78,1015,10,5,3
2017/3/30,16,23,21,88,1014,11,4,10
2017/3/30,17,25,21,78,1014,5,2,3
2017/3/30,18,23,21,88,1014,10,3,3
2017/3/30,19,23,21,88,1014,11,4,3
2017/3/30,20,23,21,88,1016,3,1,3
2017/3/30,21,24,21,83,1016,16,4,4
2017/3/30,22,24,20,78,1015,13,4,3
2017/3/30,23,22,21,95,1016,1,1,1
2017/3/31,0,23,21,88,1016,12,3,3
2017/3/31,1,23,20,83,1014,13,4,7
2017/3/31,2,22,21,96,1014,5,1,1
2017/3/31,3,23,20,83,1013,13,3,6
2017/3/31,4,22,20,88,1012,8,2,3
2017/3/31,5,22,21,96,1014,15,1,1
2017/3/31,6,22,21,94,1013,10,2,3
2017/3/31,7,22,21,94,1014,12,2,3
2017/3/31,8,23,22,94,1015,4,1,1
2017/3/31,9,21,20,94,1016,15,3,9
2017/3/31,10,21,20,94,1016,6,1,15
2017/3/31,11,21,21,97,1016,7,1,9
2017/3/31,12,20,19,94,1015,4,4,9
2017/3/31,13,19,18,94,1015,4,5,9
2017/3/31,14,21,20,100,1014,14,1,9
2017/3/31,15,19,17,88,1015,4,8,3
2017/3/31,16,18,16,88,1014,4,6,9
2017/3/31,17,18,18,96,1015,4,3,9
2017/3/31,18,18,16,88,1016,3,6,8
2017/3/31,19,17,14,82,1016,3,8,8
2017/3/31,20,17,15,86,1017,4,3,9
2017/3/31,21,17,13,77,1018,3,5,6
2017/3/31,22,16,13,82,1019,1,7,10
2017/3/31,23,15,13,82,1020,4,4,2
2017/4/1,0,15,12,82,1020,1,7,10
2017/4/1,1,15,12,82,1020,3,6,6
2017/4/1,2,16,11,69,1019,15,4,2
2017/4/1,3,15,12,82,1019,3,6,6
2017/4/1,4,15,11,77,1019,3,6,6
2017/4/1,5,15,10,67,1020,4,5,2
2017/4/1,6,14,11,82,1020,3,4,5
2017/4/1,7,14,11,82,1021,3,6,5
2017/4/1,8,15,10,60,1022,15,4,2
2017/4/1,9,17,9,59,1022,2,7,5
2017/4/1,10,18,10,59,1022,3,8,5
2017/4/1,11,20,11,47,1022,4,2,4
2017/4/1,12,21,10,49,1021,1,6,5
2017/4/1,13,23,11,47,1020,15,6,5
