direction							
1	3034							
1	3047							
1	2706							
1	3013							
1	3045							
1	2849							
1	2952							
1	2886							
1	2658							
1	2907							
1	2745							
1	3007							
1	2902							
1	2921							
1	2617							
1	2828							
1	3030							
1	2776							
1	2945							
1	3043							
1	2697							
1	3010							
1	3574							
1	3273							
1	3803							
1	3213							
1	3720							
1	3375							
1	3138							
1	3518							
1	3361							
1	3652							
1	3725							
1	3714							
1	3224							
1	4104							
1	4218							
1	3688							
1	3712							
1	3727							
1	3442							
1	3747							
1	3463							
1	3239							
1	3108							
1	3166							
1	3256							
1	3017							
1	2984							
1	3155							
1	2914							
1	3136							
1	3033							
1	3341							
1	3363							
1	3079							
1	3195							
1	2978							
1	3799							
1	3463							
1	3945							
1	3917							
1	4035							
1	3585							
1	4115							
1	4024							
1	3391							
1	3604							
1	3732							
1	3933							
1	2984							
1	3430							
1	3617							
1	4038							
1	4048							
1	3578							
1	3654							
1	3602							
1	2861							
1	3466							
1	3219							
1	3312							
1	3147							
1	3224							
1	3134							
1	2550							
1	2477							
1	2374							
1	2806							
1	2525							
1	2801							
1	2546							
1	2658							
1	2786							
1	2711							
1	2453							
1	2654							
1	2506							
1	2934							
1	2754							
1	2900							
1	2579							
1	2781							
1	2516							
1	2527							
1	2887							
1	2635							
1	2617							
1	2488							
1	2545							
1	2773							
1	3613							
1	2688							
1	2802							
1	2706							
1	2906							
1	2647							
1	2845							
1	2627							
1	2638							
1	2799							
1	3850							
1	2566							
1	2691							
1	3068							
1	2811							
1	3571							
1	3734							
1	2707							
1	2801							
1	3067							
1	2693							
1	2680							
1	2651							
1	2779							
1	2604							
1	2602							
1	2587							
1	2773							
1	2877							
1	2872							
1	3024							
1	2903							
1	2661							
1	2651							
1	3020							
1	2832							
1	2856							
1	2755							
1	2777							
1	2659							
1	2866							
1	2670							
1	2920							
1	2759							
1	2747							
1	2726							
1	2589							
1	3130							
1	2961							
1	2970							
1	2622							
1	2583							
1	2863							
1	2813							
1	2788							
1	2805							
1	2737							
1	2812							
1	2925							
1	2619							
1	3062							
1	2976							
1	2745							
1	3873							
1	3081							
1	3014							
1	2724							
1	3624							
1	3004							
1	2961							
1	2788							
1	2664							
1	3650							
1	3595							
1	3624							
1	2786							
1	3264							
1	3213							
1	2985							
1	3596							
1	3021							
1	3605							
1	3157							
1	2909							
1	3429							
1	3019							
1	2911							
1	3604							
1	3759							
1	3021							
1	2713							
1	3235							
1	3157							
1	3189							
1	3479							
1	3522							
1	2942							
1	2813							
1	3403							
1	3243							
1	2964							
1	3106							
1	3100							
1	2975							
1	2796							
1	3016							
1	2850							
1	3323							
1	3341							
1	3160							
1	3161							
1	2997							
1	2779							
1	2912							
1	3310							
1	3129							
1	3017							
1	2927							
1	3171							
1	2955							
1	3180							
1	3170							
1	3116							
1	3630							
1	3751							
1	4040							
1	3193							
1	3013							
1	3875							
1	3088							
1	3847							
1	3331							
1	3253							
1	3190							
1	3335							
1	4118							
1	3458							
1	3135							
1	3343							
1	3217							
1	2874							
1	3063							
1	3058							
1	3116							
1	3306							
1	3563							
1	4053							
1	3494							
1	3516							
1	4593							
1	3137							
1	2974							
1	2518							
1	2305							
1	2454							
1	2548							
1	2626							
1	2467							
1	2355							
1	2560							
1	2706							
1	2578							
1	2497							
1	2628							
1	2403							
1	2856							
1	2628							
1	2606							
1	2746							
1	2498							
1	2485							
1	2583							
1	2681							
1	2651							
1	2689							
1	2475							
1	2555							
1	2358							
1	2462							
1	2480							
1	2923							
1	2723							
1	2672							
1	2757							
1	2785							
1	2842							
1	2665							
1	2788							
1	2534							
1	2922							
1	2794							
1	2943							
1	2806							
1	2725							
1	2887							
1	2674							
1	2351							
1	2630							
1	2400							
1	2640							
1	2567							
1	2669							
1	2845							
1	2807							
1	2817							
1	2864							
1	2513							
1	2381							
1	2731							
1	2557							
1	2693							
1	2612							
1	2837							
1	3181							
1	2908							
1	2875							
1	2872							
1	2836							
1	2862							
1	2713							
1	2948							
1	3600							
1	2591							
1	2849							
1	2700							
1	2813							
1	2760							
1	2842							
1	2588							
1	2413							
1	2767							
1	2593							
1	2972							
1	2791							
1	2712							
1	2729							
1	2752							
1	2734							
1	2658							
1	2670							
1	2722							
1	2885							
1	2565							
1	3040							
1	3606							
1	2771							
1	2998							
1	2645							
1	3022							
1	2861							
1	2890							
1	4615							
1	2883							
1	3117							
1	2914							
1	2793							
1	3044							
1	2732							
1	2938							
1	2745							
1	2966							
1	3221							
1	2914							
1	3058							
1	3036							
1	2709							
1	3515							
1	2933							
1	3435							
1	3157							
1	3772							
1	2774							
1	3121							
1	2931							
1	3309							
1	3067							
1	3626							
1	3620							
1	2977							
1	3286							
1	3648							
1	3611							
1	3049							
1	3364							
1	3611							
1	4629							
1	4110							
1	4018							
1	4608							
1	3909							
1	5032							
1	3773							
1	3678							
1	3439							
1	3456							
1	3551							
1	2989							
1	3127							
1	3529							
1	3421							
1	3415							
1	3523							
1	3403							
1	3254							
1	3525							
1	3497							
1	2452							
1	2399							
1	2434							
1	2441							
1	2494							
1	2525							
1	2441							
1	2499							
1	2512							
1	2524							
1	2674							
1	2481							
1	2908							
1	2604							
1	2575							
1	2719							
1	2555							
1	2653							
1	2770							
1	2646							
1	2814							
1	2627							
1	2682							
1	2578							
1	2551							
1	2560							
1	2522							
1	2707							
1	2559							
1	2793							
1	2554							
1	2450							
1	2680							
1	2918							
1	3055							
1	2570							
1	2643							
1	2647							
1	2772							
1	2920							
1	2623							
1	2897							
1	2664							
1	2570							
1	2633							
1	2389							
1	2765							
1	2737							
1	2854							
1	2932							
1	3078							
1	2672							
1	2560							
1	2434							
1	2846							
1	2586							
1	2382							
1	2669							
1	2874							
1	3041							
1	2668							
1	2864							
1	2981							
1	2943							
1	2734							
1	2897							
1	2671							
1	2812							
1	2905							
1	2803							
1	3115							
1	3351							
1	2631							
1	2712							
1	2894							
1	2692							
1	3056							
1	2820							
1	2800							
1	3055							
1	2772							
1	2938							
1	2694							
1	3167							
1	2975							
1	2943							
1	2695							
1	3087							
1	3085							
1	3209							
1	2896							
1	3061							
1	3198							
1	2869							
1	3073							
1	3438							
1	3240							
1	2993							
1	3043							
1	3543							
1	2980							
1	3456							
1	3473							
1	3311							
1	3148							
1	3138							
1	3084							
1	3346							
1	2939							
1	3186							
1	3671							
1	3231							
1	3655							
1	3292							
1	3090							
1	3412							
1	3049							
1	2854							
1	2847							
1	2945							
1	2911							
1	3463							
1	3207							
1	3420							
1	3508							
1	3628							
1	3732							
1	2801							
1	2895							
1	3158							
1	3028							
1	3503							
1	3396							
1	3472							
1	3446							
1	3258							
1	3382							
1	3433							
1	2866							
1	3207							
1	3033							
1	2971							
